Trade #,Buy Amount (INR),Sell Gross (INR),Fee (INR),Sell After Fee (INR),Net Profit (INR),Total Capital (INR),Growth (%)
35,2805.15,2861.26,24.13,2837.13,31.97,822.54,41.13
36,2833.21,2889.87,24.13,2865.74,32.53,855.07,42.75
37,2861.54,2918.77,24.13,2894.64,33.1,888.17,44.41
38,2890.15,2947.96,24.13,2923.82,33.67,921.84,46.09
39,2919.05,2977.44,24.14,2953.3,34.25,956.08,47.8
40,2948.25,3007.21,24.14,2983.07,34.83,990.91,49.55
41,2977.73,3037.28,24.14,3013.14,35.42,1026.33,51.32
42,3007.5,3067.65,24.14,3043.52,36.01,1062.34,53.12
43,3037.58,3098.33,24.14,3074.19,36.61,1098.95,54.95
44,3067.96,3129.31,24.14,3105.17,37.22,1136.17,56.81
45,3098.64,3160.61,24.14,3136.46,37.83,1173.99,58.7
46,3129.62,3192.21,24.15,3168.07,38.45,1212.44,60.62
47,3160.92,3224.14,24.15,3199.99,39.07,1251.51,62.58
48,3192.53,3256.38,24.15,3232.23,39.7,1291.22,64.56
49,3224.45,3288.94,24.15,3264.79,40.34,1331.55,66.58
50,3256.7,3321.83,24.15,3297.68,40.98,1372.54,68.63
51,3289.26,3355.05,24.15,3330.9,41.63,1414.17,70.71
52,3322.16,3388.6,24.15,3364.45,42.29,1456.46,72.82
53,3355.38,3422.49,24.16,3398.33,42.95,1499.41,74.97
54,3388.93,3456.71,24.16,3432.55,43.62,1543.03,77.15
55,3422.82,3491.28,24.16,3467.12,44.3,1587.33,79.37
56,3457.05,3526.19,24.16,3502.03,44.98,1632.31,81.62
57,3491.62,3561.45,24.16,3537.29,45.67,1677.98,83.9
58,3526.54,3597.07,24.16,3572.9,46.37,1724.35,86.22
59,3561.8,3633.04,24.17,3608.87,47.07,1771.42,88.57
60,3597.42,3669.37,24.17,3645.2,47.78,1819.2,90.96
61,3633.39,3706.06,24.17,3681.89,48.5,1867.7,93.38
62,3669.73,3743.12,24.17,3718.95,49.22,1916.92,95.85
63,3706.42,3780.55,24.17,3756.38,49.96,1966.88,98.34
64,3743.49,3818.36,24.17,3794.18,50.7,2017.57,100.88
65,3780.92,3856.54,24.18,3832.37,51.44,2069.02,103.45
66,3818.73,3895.11,24.18,3870.93,52.2,2121.21,106.06
67,3856.92,3934.06,24.18,3909.88,52.96,2174.17,108.71
68,3895.49,3973.4,24.18,3949.22,53.73,2227.9,111.4
69,3934.44,4013.13,24.18,3988.95,54.51,2282.41,114.12
70,3973.79,4053.26,24.18,4029.08,55.29,2337.7,116.88
71,4013.53,4093.8,24.19,4069.61,56.08,2393.78,119.69
72,4053.66,4134.74,24.19,4110.55,56.88,2450.67,122.53
73,4094.2,4176.08,24.19,4151.89,57.69,2508.36,125.42
74,4135.14,4217.84,24.19,4193.65,58.51,2566.87,128.34
75,4176.49,4260.02,24.19,4235.83,59.34,2626.21,131.31
76,4218.26,4302.62,24.2,4278.43,60.17,2686.38,134.32
77,4260.44,4345.65,24.2,4321.45,61.01,2747.39,137.37
78,4303.04,4389.1,24.2,4364.9,61.86,2809.25,140.46
79,4346.07,4433.0,24.2,4408.79,62.72,2871.97,143.6
80,4389.54,4477.33,24.2,4453.12,63.59,2935.56,146.78
81,4433.43,4522.1,24.21,4497.89,64.46,3000.02,150.0
82,4477.76,4567.32,24.21,4543.11,65.35,3065.37,153.27
83,4522.54,4612.99,24.21,4588.78,66.24,3131.61,156.58
84,4567.77,4659.12,24.21,4634.91,67.14,3198.75,159.94
85,4613.45,4705.71,24.21,4681.5,68.05,3266.8,163.34
86,4659.58,4752.77,24.22,4728.56,68.98,3335.78,166.79
87,4706.18,4800.3,24.22,4776.08,69.9,3405.68,170.28
88,4753.24,4848.3,24.22,4824.08,70.84,3476.53,173.83
89,4800.77,4896.79,24.22,4872.56,71.79,3548.32,177.42
90,4848.78,4945.75,24.23,4921.53,72.75,3621.07,181.05
91,4897.27,4995.21,24.23,4970.98,73.72,3694.79,184.74
92,4946.24,5045.16,24.23,5020.93,74.69,3769.48,188.47
93,4995.7,5095.61,24.23,5071.38,75.68,3845.16,192.26
94,5045.66,5146.57,24.23,5122.34,76.68,3921.84,196.09
95,5096.11,5198.04,24.24,5173.8,77.69,3999.53,199.98
96,5147.08,5250.02,24.24,5225.78,78.7,4078.23,203.91
97,5198.55,5302.52,24.24,5278.28,79.73,4157.96,207.9
98,5250.53,5355.54,24.24,5331.3,80.77,4238.73,211.94
99,5303.04,5409.1,24.25,5384.85,81.81,4320.54,216.03
100,5356.07,5463.19,24.25,5438.94,82.87,4403.41,220.17
101,5409.63,5517.82,24.25,5493.57,83.94,4487.36,224.37
102,5463.72,5573.0,24.25,5548.74,85.02,4572.38,228.62
103,5518.36,5628.73,24.26,5604.47,86.11,4658.49,232.92
104,5573.54,5685.02,24.26,5660.76,87.21,4745.7,237.28
105,5629.28,5741.87,24.26,5717.6,88.32,4834.02,241.7
106,5685.57,5799.28,24.26,5775.02,89.45,4923.47,246.17
107,5742.43,5857.28,24.27,5833.01,90.58,5014.05,250.7
108,5799.85,5915.85,24.27,5891.58,91.73,5105.78,255.29
109,5857.85,5975.01,24.27,5950.74,92.88,5198.66,259.93
110,5916.43,6034.76,24.27,6010.48,94.05,5292.72,264.64
111,5975.59,6095.11,24.28,6070.83,95.23,5387.95,269.4
112,6035.35,6156.06,24.28,6131.78,96.43,5484.38,274.22
113,6095.7,6217.62,24.28,6193.33,97.63,5582.01,279.1
114,6156.66,6279.79,24.29,6255.51,98.85,5680.86,284.04
115,6218.23,6342.59,24.29,6318.3,100.08,5780.93,289.05
116,6280.41,6406.02,24.29,6381.73,101.32,5882.25,294.11
117,6343.21,6470.08,24.29,6445.78,102.57,5984.82,299.24
118,6406.65,6534.78,24.3,6510.48,103.84,6088.65,304.43
119,6470.71,6600.13,24.3,6575.83,105.11,6193.77,309.69
120,6535.42,6666.13,24.3,6641.82,106.4,6300.17,315.01
121,6600.77,6732.79,24.31,6708.48,107.71,6407.88,320.39
122,6666.78,6800.12,24.31,6775.81,109.03,6516.91,325.85
123,6733.45,6868.12,24.31,6843.81,110.36,6627.26,331.36
124,6800.78,6936.8,24.32,6912.48,111.7,6738.96,336.95
125,6868.79,7006.17,24.32,6981.85,113.06,6852.02,342.6
126,6937.48,7076.23,24.32,7051.91,114.43,6966.45,348.32
127,7006.85,7146.99,24.33,7122.67,115.81,7082.26,354.11
128,7076.92,7218.46,24.33,7194.13,117.21,7199.47,359.97
129,7147.69,7290.65,24.33,7266.31,118.62,7318.09,365.9
130,7219.17,7363.55,24.34,7339.22,120.05,7438.14,371.91
131,7291.36,7437.19,24.34,7412.85,121.49,7559.63,377.98
132,7364.27,7511.56,24.34,7487.22,122.94,7682.57,384.13
133,7437.92,7586.68,24.35,7562.33,124.41,7806.98,390.35
134,7512.3,7662.54,24.35,7638.19,125.9,7932.88,396.64
135,7587.42,7739.17,24.35,7714.82,127.4,8060.28,403.01
136,7663.29,7816.56,24.36,7792.2,128.91,8189.19,409.46
137,7739.93,7894.72,24.36,7870.37,130.44,8319.62,415.98
138,7817.33,7973.67,24.36,7949.31,131.98,8451.61,422.58
139,7895.5,8053.41,24.37,8029.04,133.54,8585.15,429.26
140,7974.45,8133.94,24.37,8109.57,135.12,8720.27,436.01
141,8054.2,8215.28,24.37,8190.91,136.71,8856.98,442.85
142,8134.74,8297.44,24.38,8273.06,138.32,8995.3,449.76
143,8216.09,8380.41,24.38,8356.03,139.94,9135.24,456.76
144,8298.25,8464.21,24.39,8439.83,141.58,9276.82,463.84
145,8381.23,8548.86,24.39,8524.47,143.24,9420.05,471.0
146,8465.04,8634.34,24.39,8609.95,144.91,9564.96,478.25
147,8549.69,8720.69,24.4,8696.29,146.6,9711.55,485.58
148,8635.19,8807.89,24.4,8783.49,148.3,9859.86,492.99
149,8721.54,8895.97,24.41,8871.57,150.03,10009.88,500.49
150,8808.76,8984.93,24.41,8960.52,151.77,10161.65,508.08
151,8896.85,9074.78,24.41,9050.37,153.52,10315.17,515.76
152,8985.81,9165.53,24.42,9141.11,155.3,10470.47,523.52
153,9075.67,9257.19,24.42,9232.76,157.09,10627.56,531.38
154,9166.43,9349.76,24.43,9325.33,158.9,10786.47,539.32
155,9258.09,9443.26,24.43,9418.83,160.73,10947.2,547.36
156,9350.67,9537.69,24.43,9513.25,162.58,11109.78,555.49
157,9444.18,9633.06,24.44,9608.63,164.44,11274.22,563.71
158,9538.62,9729.4,24.44,9704.95,166.33,11440.55,572.03
159,9634.01,9826.69,24.45,9802.24,168.23,11608.78,580.44
160,9730.35,9924.96,24.45,9900.5,170.15,11778.94,588.95
161,9827.65,10024.21,24.46,9999.75,172.1,11951.03,597.55
162,9925.93,10124.45,24.46,10099.99,174.06,12125.09,606.25
163,10025.19,10225.69,24.47,10201.23,176.04,12301.13,615.06
164,10125.44,10327.95,24.47,10303.48,178.04,12479.17,623.96
165,10226.69,10431.23,24.48,10406.75,180.06,12659.23,632.96
166,10328.96,10535.54,24.48,10511.06,182.1,12841.33,642.07
167,10432.25,10640.9,24.48,10616.41,184.16,13025.49,651.27
168,10536.57,10747.31,24.49,10722.82,186.24,13211.73,660.59
169,10641.94,10854.78,24.49,10830.28,188.34,13400.07,670.0
170,10748.36,10963.33,24.5,10938.83,190.47,13590.54,679.53
171,10855.84,11072.96,24.5,11048.46,192.61,13783.15,689.16
172,10964.4,11183.69,24.51,11159.18,194.78,13977.93,698.9
173,11074.05,11295.53,24.51,11271.01,196.97,14174.9,708.74
174,11184.79,11408.48,24.52,11383.96,199.18,14374.07,718.7
175,11296.63,11522.57,24.52,11498.04,201.41,14575.48,728.77
176,11409.6,11637.79,24.53,11613.26,203.66,14779.14,738.96
177,11523.7,11754.17,24.54,11729.63,205.94,14985.08,749.25
178,11638.93,11871.71,24.54,11847.17,208.24,15193.32,759.67
179,11755.32,11990.43,24.55,11965.88,210.56,15403.88,770.19
180,11872.88,12110.33,24.55,12085.78,212.91,15616.79,780.84
181,11991.6,12231.44,24.56,12206.88,215.27,15832.06,791.6
182,12111.52,12353.75,24.56,12329.19,217.67,16049.73,802.49
183,12232.64,12477.29,24.57,12452.72,220.08,16269.81,813.49
184,12354.96,12602.06,24.57,12577.49,222.53,16492.34,824.62
185,12478.51,12728.08,24.58,12703.5,224.99,16717.33,835.87
186,12603.3,12855.36,24.59,12830.78,227.48,16944.81,847.24
187,12729.33,12983.92,24.59,12959.32,230.0,17174.81,858.74
188,12856.62,13113.75,24.6,13089.16,232.54,17407.34,870.37
189,12985.19,13244.89,24.6,13220.29,235.1,17642.44,882.12
190,13115.04,13377.34,24.61,13352.73,237.69,17880.13,894.01
191,13246.19,13511.11,24.62,13486.5,240.31,18120.44,906.02
192,13378.65,13646.23,24.62,13621.6,242.95,18363.39,918.17
193,13512.44,13782.69,24.63,13758.06,245.62,18609.01,930.45
194,13647.56,13920.52,24.63,13895.88,248.32,18857.33,942.87
195,13784.04,14059.72,24.64,14035.08,251.04,19108.37,955.42
196,13921.88,14200.32,24.65,14175.67,253.79,19362.16,968.11
197,14061.1,14342.32,24.65,14317.67,256.57,19618.73,980.94
198,14201.71,14485.74,24.66,14461.08,259.37,19878.1,993.91
199,14343.73,14630.6,24.67,14605.93,262.21,20140.31,1007.02
200,14487.16,14776.91,24.67,14752.23,265.07,20405.38,1020.27
201,14632.04,14924.68,24.68,14900.0,267.96,20673.34,1033.67
202,14778.36,15073.92,24.69,15049.24,270.88,20944.22,1047.21
203,14926.14,15224.66,24.69,15199.97,273.83,21218.05,1060.9
204,15075.4,15376.91,24.7,15352.21,276.81,21494.86,1074.74
205,15226.16,15530.68,24.71,15505.97,279.82,21774.68,1088.73
206,15378.42,15685.98,24.71,15661.27,282.85,22057.53,1102.88
207,15532.2,15842.84,24.72,15818.12,285.92,22343.45,1117.17
208,15687.52,16001.27,24.73,15976.54,289.02,22632.47,1131.62
209,15844.4,16161.29,24.74,16136.55,292.15,22924.63,1146.23
210,16002.84,16322.9,24.74,16298.16,295.31,23219.94,1161.0
211,16162.87,16486.13,24.75,16461.38,298.51,23518.45,1175.92
212,16324.5,16650.99,24.76,16626.23,301.73,23820.18,1191.01
213,16487.74,16817.5,24.77,16792.73,304.99,24125.17,1206.26
214,16652.62,16985.67,24.77,16960.9,308.28,24433.45,1221.67
215,16819.15,17155.53,24.78,17130.75,311.6,24745.05,1237.25
216,16987.34,17327.09,24.79,17302.3,314.96,25060.0,1253.0
217,17157.21,17500.36,24.8,17475.56,318.35,25378.35,1268.92
218,17328.78,17675.36,24.81,17650.56,321.77,25700.12,1285.01
219,17502.07,17852.11,24.81,17827.3,325.23,26025.35,1301.27
220,17677.09,18030.64,24.82,18005.81,328.72,26354.07,1317.7
221,17853.86,18210.94,24.83,18186.11,332.25,26686.32,1334.32
222,18032.4,18393.05,24.84,18368.21,335.81,27022.13,1351.11
223,18212.73,18576.98,24.85,18552.14,339.41,27361.54,1368.08
224,18394.85,18762.75,24.85,18737.9,343.04,27704.58,1385.23
225,18578.8,18950.38,24.86,18925.52,346.71,28051.29,1402.56
226,18764.59,19139.88,24.87,19115.01,350.42,28401.71,1420.09
227,18952.24,19331.28,24.88,19306.4,354.16,28755.88,1437.79
228,19141.76,19524.59,24.89,19499.7,357.95,29113.82,1455.69
229,19333.18,19719.84,24.9,19694.94,361.77,29475.59,1473.78
230,19526.51,19917.04,24.91,19892.13,365.62,29841.21,1492.06
231,19721.77,20116.21,24.92,20091.29,369.52,30210.73,1510.54
232,19918.99,20317.37,24.93,20292.45,373.45,30584.19,1529.21
233,20118.18,20520.54,24.93,20495.61,377.43,30961.61,1548.08
234,20319.36,20725.75,24.94,20700.81,381.44,31343.06,1567.15
235,20522.56,20933.01,24.95,20908.05,385.5,31728.55,1586.43
236,20727.78,21142.34,24.96,21117.37,389.59,32118.15,1605.91
237,20935.06,21353.76,24.97,21328.79,393.73,32511.88,1625.59
238,21144.41,21567.3,24.98,21542.32,397.91,32909.78,1645.49
239,21355.85,21782.97,24.99,21757.98,402.12,33311.91,1665.6
240,21569.41,22000.8,25.0,21975.8,406.39,33718.29,1685.91
241,21785.11,22220.81,25.01,22195.8,410.69,34128.98,1706.45
242,22002.96,22443.02,25.02,22418.0,415.04,34544.02,1727.2
243,22222.99,22667.45,25.03,22642.42,419.43,34963.45,1748.17
244,22445.22,22894.12,25.04,22869.08,423.86,35387.31,1769.37
245,22669.67,23123.06,25.05,23098.01,428.34,35815.65,1790.78
246,22896.37,23354.29,25.06,23329.23,432.86,36248.51,1812.43
247,23125.33,23587.84,25.07,23562.76,437.43,36685.94,1834.3
248,23356.58,23823.72,25.09,23798.63,442.05,37127.99,1856.4
249,23590.15,24061.95,25.1,24036.86,446.71,37574.7,1878.73
250,23826.05,24302.57,25.11,24277.47,451.41,38026.11,1901.31
251,24064.31,24545.6,25.12,24520.48,456.17,38482.28,1924.11
252,24304.95,24791.05,25.13,24765.92,460.97,38943.25,1947.16
253,24548.0,25038.96,25.14,25013.82,465.82,39409.07,1970.45
254,24793.48,25289.35,25.15,25264.2,470.72,39879.79,1993.99
255,25041.42,25542.25,25.16,25517.08,475.66,40355.45,2017.77
256,25291.83,25797.67,25.18,25772.49,480.66,40836.11,2041.81
257,25544.75,26055.65,25.19,26030.46,485.71,41321.82,2066.09
258,25800.2,26316.2,25.2,26291.0,490.81,41812.63,2090.63
259,26058.2,26579.37,25.21,26554.15,495.95,42308.58,2115.43
260,26318.78,26845.16,25.22,26819.94,501.15,42809.73,2140.49
261,26581.97,27113.61,25.23,27088.38,506.4,43316.14,2165.81
262,26847.79,27384.75,25.25,27359.5,511.71,43827.85,2191.39
263,27116.27,27658.59,25.26,27633.33,517.07,44344.91,2217.25
264,27387.43,27935.18,25.27,27909.91,522.48,44867.39,2243.37
265,27661.31,28214.53,25.29,28189.25,527.94,45395.33,2269.77
266,27937.92,28496.68,25.3,28471.38,533.46,45928.79,2296.44
267,28217.3,28781.64,25.31,28756.33,539.03,46467.83,2323.39
268,28499.47,29069.46,25.32,29044.14,544.67,47012.49,2350.62
269,28784.47,29360.15,25.34,29334.82,550.35,47562.84,2378.14
270,29072.31,29653.76,25.35,29628.41,556.1,48118.94,2405.95
271,29363.03,29950.29,25.36,29924.93,561.9,48680.83,2434.04
272,29656.66,30249.8,25.38,30224.42,567.76,49248.59,2462.43
273,29953.23,30552.29,25.39,30526.9,573.67,49822.26,2491.11
274,30252.76,30857.82,25.41,30832.41,579.65,50401.91,2520.1
275,30555.29,31166.4,25.42,31140.98,585.69,50987.6,2549.38
276,30860.84,31478.06,25.43,31452.63,591.78,51579.38,2578.97
277,31169.45,31792.84,25.45,31767.39,597.94,52177.32,2608.87
278,31481.15,32110.77,25.46,32085.31,604.16,52781.48,2639.07
279,31795.96,32431.88,25.48,32406.4,610.44,53391.92,2669.6
280,32113.92,32756.2,25.49,32730.7,616.79,54008.71,2700.44
281,32435.06,33083.76,25.51,33058.25,623.19,54631.91,2731.6
282,32759.41,33414.59,25.52,33389.07,629.67,55261.57,2763.08
283,33087.0,33748.74,25.54,33723.2,636.2,55897.77,2794.89
284,33417.87,34086.23,25.55,34060.68,642.8,56540.58,2827.03
285,33752.05,34427.09,25.57,34401.52,649.47,57190.05,2859.5
286,34089.57,34771.36,25.58,34745.78,656.21,57846.26,2892.31
287,34430.47,35119.08,25.6,35093.48,663.01,58509.27,2925.46
288,34774.77,35470.27,25.62,35444.65,669.88,59179.15,2958.96
289,35122.52,35824.97,25.63,35799.34,676.82,59855.97,2992.8
290,35473.74,36183.22,25.65,36157.57,683.83,60539.79,3026.99
291,35828.48,36545.05,25.66,36519.39,690.91,61230.7,3061.53
292,36186.77,36910.5,25.68,36884.82,698.05,61928.75,3096.44
293,36548.63,37279.61,25.7,37253.91,705.27,62634.03,3131.7
294,36914.12,37652.4,25.72,37626.69,712.57,63346.6,3167.33
295,37283.26,38028.93,25.73,38003.19,719.93,64066.53,3203.33
296,37656.09,38409.22,25.75,38383.47,727.37,64793.9,3239.7
297,38032.65,38793.31,25.77,38767.54,734.89,65528.79,3276.44
298,38412.98,39181.24,25.78,39155.46,742.47,66271.26,3313.56
299,38797.11,39573.05,25.8,39547.25,750.14,67021.4,3351.07
300,39185.08,39968.78,25.82,39942.96,757.88,67779.28,3388.96
301,39576.93,40368.47,25.84,40342.63,765.7,68544.98,3427.25
302,39972.7,40772.16,25.86,40746.3,773.6,69318.58,3465.93
303,40372.43,41179.88,25.88,41154.0,781.57,70100.15,3505.01
304,40776.15,41591.68,25.89,41565.78,789.63,70889.78,3544.49
305,41183.91,42007.59,25.91,41981.68,797.76,71687.55,3584.38
306,41595.75,42427.67,25.93,42401.74,805.98,72493.53,3624.68
307,42011.71,42851.95,25.95,42825.99,814.28,73307.81,3665.39
308,42431.83,43280.47,25.97,43254.49,822.67,74130.48,3706.52
309,42856.15,43713.27,25.99,43687.28,831.13,74961.61,3748.08
310,43284.71,44150.4,26.01,44124.39,839.68,75801.29,3790.06
311,43717.56,44591.91,26.03,44565.88,848.32,76649.61,3832.48
312,44154.73,45037.83,26.05,45011.77,857.04,77506.65,3875.33
313,44596.28,45488.2,26.07,45462.13,865.85,78372.51,3918.63
314,45042.24,45943.09,26.09,45916.99,874.75,79247.26,3962.36
315,45492.66,46402.52,26.11,46376.4,883.74,80131.0,4006.55
316,45947.59,46866.54,26.13,46840.41,892.82,81023.82,4051.19
317,46407.07,47335.21,26.16,47309.05,901.99,81925.8,4096.29
318,46871.14,47808.56,26.18,47782.38,911.25,82837.05,4141.85
319,47339.85,48286.64,26.2,48260.45,920.6,83757.64,4187.88
320,47813.25,48769.51,26.22,48743.29,930.04,84687.69,4234.38
321,48291.38,49257.21,26.24,49230.96,939.58,85627.27,4281.36
322,48774.29,49749.78,26.27,49723.51,949.22,86576.49,4328.82
323,49262.04,50247.28,26.29,50220.99,958.95,87535.44,4376.77
324,49754.66,50749.75,26.31,50723.44,968.78,88504.23,4425.21
325,50252.2,51257.25,26.33,51230.91,978.71,89482.93,4474.15
326,50754.72,51769.82,26.36,51743.46,988.74,90471.67,4523.58
327,51262.27,52287.52,26.38,52261.14,998.86,91470.53,4573.53
328,51774.89,52810.39,26.41,52783.99,1009.09,92479.63,4623.98
329,52292.64,53338.5,26.43,53312.07,1019.42,93499.05,4674.95
330,52815.57,53871.88,26.45,53845.43,1029.86,94528.91,4726.45
331,53343.73,54410.6,26.48,54384.12,1040.4,95569.3,4778.47
332,53877.16,54954.71,26.5,54928.2,1051.04,96620.34,4831.02
333,54415.93,55504.25,26.53,55477.72,1061.79,97682.14,4884.11
334,54960.09,56059.3,26.55,56032.74,1072.65,98754.78,4937.74
335,55509.69,56619.89,26.58,56593.31,1083.61,99838.4,4991.92
336,56064.79,57186.09,26.6,57159.48,1094.69,100933.09,5046.65
337,56625.44,57757.95,26.63,57731.32,1105.88,102038.97,5101.95
338,57191.69,58335.53,26.66,58308.87,1117.18,103156.14,5157.81
339,57763.61,58918.88,26.68,58892.2,1128.59,104284.73,5214.24
340,58341.25,59508.07,26.71,59481.36,1140.11,105424.85,5271.24
341,58924.66,60103.15,26.74,60076.42,1151.76,106576.6,5328.83
342,59513.91,60704.18,26.77,60677.42,1163.51,107740.12,5387.01
343,60109.05,61311.23,26.79,61284.43,1175.39,108915.5,5445.78
344,60710.14,61924.34,26.82,61897.52,1187.38,110102.89,5505.14
345,61317.24,62543.58,26.85,62516.73,1199.5,111302.38,5565.12
346,61930.41,63169.02,26.88,63142.14,1211.73,112514.11,5625.71
347,62549.71,63800.71,26.91,63773.8,1224.09,113738.2,5686.91
348,63175.21,64438.71,26.94,64411.78,1236.57,114974.77,5748.74
349,63806.96,65083.1,26.96,65056.14,1249.17,116223.95,5811.2
350,64445.03,65733.93,26.99,65706.94,1261.91,117485.85,5874.29
351,65089.48,66391.27,27.02,66364.25,1274.77,118760.62,5938.03
352,65740.38,67055.19,27.05,67028.13,1287.75,120048.37,6002.42
353,66397.78,67725.74,27.08,67698.65,1300.87,121349.24,6067.46
354,67061.76,68402.99,27.12,68375.88,1314.12,122663.36,6133.17
355,67732.38,69087.02,27.15,69059.88,1327.5,123990.86,6199.54
356,68409.7,69777.89,27.18,69750.72,1341.02,125331.88,6266.59
357,69093.8,70475.67,27.21,70448.46,1354.67,126686.54,6334.33
358,69784.74,71180.43,27.24,71153.19,1368.45,128055.0,6402.75
359,70482.58,71892.23,27.27,71864.96,1382.38,129437.37,6471.87
360,71187.41,72611.16,27.31,72583.85,1396.44,130833.81,6541.69
361,71899.28,73337.27,27.34,73309.93,1410.65,132244.46,6612.22
362,72618.28,74070.64,27.37,74043.27,1424.99,133669.45,6683.47
363,73344.46,74811.35,27.41,74783.94,1439.48,135108.93,6755.45
364,74077.9,75559.46,27.44,75532.02,1454.12,136563.05,6828.15
365,74818.68,76315.06,27.48,76287.58,1468.9,138031.95,6901.6
366,75566.87,77078.21,27.51,77050.7,1483.83,139515.77,6975.79
367,76322.54,77848.99,27.55,77821.44,1498.9,141014.68,7050.73
368,77085.76,78627.48,27.58,78599.9,1514.13,142528.81,7126.44
369,77856.62,79413.75,27.62,79386.14,1529.52,144058.33,7202.92
370,78635.19,80207.89,27.65,80180.24,1545.05,145603.38,7280.17
371,79421.54,81009.97,27.69,80982.28,1560.74,147164.12,7358.21
372,80215.75,81820.07,27.73,81792.34,1576.59,148740.71,7437.04
373,81017.91,82638.27,27.76,82610.51,1592.59,150333.3,7516.66
374,81828.09,83464.65,27.8,83436.85,1608.76,151942.06,7597.1
375,82646.37,84299.3,27.84,84271.46,1625.09,153567.15,7678.36
376,83472.84,85142.29,27.88,85114.41,1641.58,155208.73,7760.44
377,84307.56,85993.71,27.92,85965.8,1658.23,156866.96,7843.35
378,85150.64,86853.65,27.96,86825.7,1675.06,158542.02,7927.1
379,86002.15,87722.19,28.0,87694.19,1692.05,160234.06,8011.7
380,86862.17,88599.41,28.04,88571.37,1709.21,161943.27,8097.16
381,87730.79,89485.4,28.08,89457.33,1726.54,163669.81,8183.49
382,88608.1,90380.26,28.12,90352.14,1744.05,165413.86,8270.69
383,89494.18,91284.06,28.16,91255.9,1761.73,167175.58,8358.78
384,90389.12,92196.9,28.2,92168.7,1779.58,168955.17,8447.76
385,91293.01,93118.87,28.24,93090.63,1797.62,170752.78,8537.64
386,92205.94,94050.06,28.28,94021.78,1815.83,172568.62,8628.43
387,93128.0,94990.56,28.33,94962.23,1834.23,174402.85,8720.14
388,94059.28,95940.47,28.37,95912.1,1852.82,176255.67,8812.78
389,94999.87,96899.87,28.41,96871.46,1871.58,178127.25,8906.36
390,95949.87,97868.87,28.46,97840.41,1890.54,180017.79,9000.89
391,96909.37,98847.56,28.5,98819.06,1909.68,181927.48,9096.37
392,97878.46,99836.03,28.55,99807.49,1929.02,183856.5,9192.82
393,98857.25,100834.39,28.59,100805.8,1948.55,185805.05,9290.25
394,99845.82,101842.74,28.64,101814.1,1968.28,187773.33,9388.67
395,100844.28,102861.16,28.69,102832.48,1988.2,189761.53,9488.08
396,101852.72,103889.78,28.73,103861.04,2008.32,191769.85,9588.49
397,102871.25,104928.67,28.78,104899.89,2028.65,193798.5,9689.92
398,103899.96,105977.96,28.83,105949.13,2049.17,195847.67,9792.38
399,104938.96,107037.74,28.88,107008.87,2069.9,197917.57,9895.88
400,105988.35,108108.12,28.92,108079.19,2090.84,200008.41,10000.42
